Date,Headline,Food, MDR12 , PLR , MLR ,MPR,IBCR,OBB,COP,M3,M2,M1,QM,CG,CPS,CCPS,COS,TD,RR,ER,NDC,LTDR,LR,EXP,IMP,GRV,GXP,GRXP,FBAL,TVAT,CRR,BSL,insecurity_D,insecurity_I
May-2011,12.30,12.11,4.12,15.81,22.11,8.00,9.75,8.55,118.43,12161740.02,12161740.02,5770438.48,6391301.54,744990.12,8868856.56,6933294.57,1935561.99,11097603.80,698.34,177952.58,9613846.68,46.43,17.87,1249850.23,801042.67,210003.90,449474.70,345402.60,-239470.80,42564.00,2.00,341.60,29.00,4
June-2011,10.20,9.18,4.68,15.76,22.02,8.00,11.15,9.19,117.03,12310587.34,12310587.34,5920929.78,6389657.56,795069.63,8924890.19,6943442.23,1981447.95,11294049.76,698.34,412379.48,9719959.81,44.89,17.94,1449185.36,830344.32,260456.00,313261.40,268302.10,-52805.40,51600.00,4.00,580.17,62.00,17
July-2011,9.46,7.89,4.39,15.84,22.42,8.75,8.85,7.60,117.86,12700851.61,12613538.98,6219355.84,6394183.14,-21037.36,8960676.17,7040928.59,1919747.58,11573149.68,698.34,390184.80,8939638.81,42.16,19.19,1233996.20,1119638.98,553367.00,245533.60,184119.10,307833.40,52505.00,4.00,792.20,105.00,21
August-2011,9.29,8.70,4.48,15.82,22.27,8.75,8.59,8.17,111.99,13030901.60,12711713.43,6138374.73,6573338.70,1762699.60,9192276.49,7124427.55,2067848.93,11650533.69,698.34,196722.35,10954976.09,43.56,21.51,1318764.65,1188718.96,280355.50,577711.90,318218.10,-297356.40,63355.00,4.00,427.68,137.00,33
September-2011,10.32,9.47,4.47,15.87,22.09,9.25,9.37,8.96,115.73,13163599.14,12719416.28,6160598.47,6558817.81,1721422.88,9299452.88,7314509.01,1984943.87,11707572.40,698.34,272632.09,11020875.76,43.40,20.00,1021378.18,1063678.55,258025.90,429633.60,309748.80,-171607.70,54728.00,4.00,544.24,109.00,16
October-2011,10.56,9.65,4.90,16.49,23.32,12.00,13.07,13.70,113.12,12880169.70,12332290.38,5975210.36,6357080.01,70524.53,10816811.89,7400252.81,3416559.08,11294686.86,795146.61,56161.19,10887336.41,49.60,36.10,1398833.64,785311.81,261562.80,343609.00,151491.20,-82046.20,58310.00,8.00,125.76,48.00,28
November-2011,10.55,9.62,5.28,16.82,23.35,12.00,15.58,12.72,113.92,13272351.21,12309692.78,5884835.15,6424857.63,525016.99,11309546.37,7532681.34,3776865.03,11240295.63,784510.41,29269.59,11834563.37,47.50,33.90,1200195.83,1194695.45,303225.50,570293.10,548728.40,-267067.60,49574.00,8.00,96.74,258.00,38
December-2011,10.33,11.01,7.12,16.75,23.21,12.00,15.50,14.15,111.46,14192086.09,13179000.93,6652315.63,6526685.29,772793.99,12741651.96,6972366.28,5769285.69,11933865.57,772434.50,259278.00,13514445.96,44.80,42.00,1220864.54,763527.58,507316.10,641201.80,394177.90,-133885.70,50223.00,8.00,227.80,440.00,53
January-2012,12.63,13.12,6.61,16.92,23.08,12.00,14.19,13.82,113.81,14126038.26,13184699.13,6640272.89,6544426.24,13230.96,12567331.99,6914456.91,5652875.08,12073784.52,809829.34,161319.48,12580562.95,40.60,43.40,1332247.83,685173.59,266088.00,159175.00,121528.00,106913.00,54843.00,8.00,215.67,430.00,70
February-2012,11.83,9.69,6.64,17.11,23.13,12.00,14.35,13.58,121.87,14361505.92,13052646.47,6393931.05,6658715.42,349827.44,12512181.05,6849210.11,5662970.94,11971344.04,820777.85,144803.96,12862008.49,41.50,29.60,1412882.97,876445.66,173765.00,311201.00,263809.00,-137436.00,51111.00,8.00,98.15,289.00,74
March-2012,12.09,11.85,7.99,17.27,23.22,12.00,14.13,13.79,128.00,15202571.79,13302991.97,6604095.48,6698896.49,760916.05,12641717.85,6961405.06,5680312.79,12161580.68,823524.11,103230.67,13402633.90,40.96,39.66,1387259.65,1319775.14,338641.00,394663.00,239286.00,-56022.00,58184.00,8.00,148.77,341.00,82
